1000,#ff3e00
1100,#ff4d00
1200,#ff5900
1300,#ff6300
1400,#ff6c00
1500,#ff7300
1600,#ff7a00
1700,#ff8000
1800,#ff8600
1900,#ff8b00
2000,#ff9115
2100,#ff9626
2200,#ff9c32
2300,#ffa13d
2400,#ffa647
2500,#ffab50
2600,#ffaf59
2700,#ffb361
2800,#ffb769
2900,#ffbb70
3000,#ffbf77
3100,#ffc27e
3200,#ffc685
3300,#ffc98c
3400,#ffcc92
3500,#ffcf98
3600,#ffd29e
3700,#ffd5a4
3800,#ffd7aa
3900,#ffdaaf
4000,#ffdcb5
4100,#ffdfba
4200,#ffe1bf
4300,#ffe3c4
4400,#ffe6c9
4500,#ffe8ce
4600,#ffead2
4700,#ffecd7
4800,#ffeedb
4900,#ffefdf
5000,#fff1e4
5100,#fff3e8
5200,#fff5ec
5300,#fff6f0
5400,#fff8f3
5500,#fff9f7
5600,#fffbfb
5700,#fffcfe
5800,#fdfbff
5900,#f9f9ff
6000,#f6f8ff
6100,#f3f6ff
6200,#f0f4ff
6300,#eef3ff
6400,#ebf1ff
6500,#e9f0ff
6600,#e6eeff
6700,#e4edff
6800,#e2ebff
6900,#e0eaff
7000,#dee9ff
7100,#dce8ff
7200,#dae7ff
7300,#d8e6ff
7400,#d6e5ff
7500,#d5e3ff
7600,#d3e3ff
7700,#d1e2ff
7800,#d0e1ff
7900,#cfe0ff
8000,#cddfff
8100,#ccdeff
8200,#caddff
8300,#c9dcff
8400,#c8dcff
8500,#c7dbff
8600,#c6daff
8700,#c4d9ff
8800,#c3d9ff
8900,#c2d8ff
9000,#c1d7ff
9100,#c0d7ff
9200,#bfd6ff
9300,#bed6ff
9400,#bed5ff
9500,#bdd4ff
9600,#bcd4ff
9700,#bbd3ff
9800,#bad3ff
9900,#b9d2ff
10000,#b9d2ff
10100,#b8d1ff
10200,#b7d1ff
10300,#b6d0ff
10400,#b6d0ff
10500,#b5d0ff
10600,#b4cfff
10700,#b4cfff
10800,#b3ceff
10900,#b2ceff
11000,#b2cdff
11100,#b1cdff
11200,#b1cdff
11300,#b0ccff
11400,#afccff
11500,#afccff
11600,#aecbff
11700,#aecbff
11800,#adcbff
11900,#adcaff
12000,#accaff
12100,#accaff
12200,#acc9ff
12300,#abc9ff
12400,#abc9ff
12500,#aac8ff
12600,#aac8ff
12700,#a9c8ff
12800,#a9c8ff
12900,#a9c7ff
13000,#a8c7ff
13100,#a8c7ff
13200,#a7c7ff
13300,#a7c6ff
13400,#a7c6ff
13500,#a6c6ff
13600,#a6c6ff
13700,#a6c5ff
13800,#a5c5ff
13900,#a5c5ff
14000,#a5c5ff
14100,#a4c4ff
14200,#a4c4ff
14300,#a4c4ff
14400,#a3c4ff
14500,#a3c4ff
14600,#a3c3ff
14700,#a2c3ff
14800,#a2c3ff
14900,#a2c3ff
15000,#a2c3ff
15100,#a1c3ff
15200,#a1c2ff
15300,#a1c2ff
15400,#a1c2ff
15500,#a0c2ff
15600,#a0c2ff
15700,#a0c1ff
15800,#a0c1ff
15900,#9fc1ff
16000,#9fc1ff
16100,#9fc1ff
16200,#9fc1ff
16300,#9ec1ff
16400,#9ec0ff
16500,#9ec0ff
16600,#9ec0ff
16700,#9ec0ff
16800,#9dc0ff
16900,#9dc0ff
17000,#9dc0ff
17100,#9dbfff
17200,#9dbfff
17300,#9cbfff
17400,#9cbfff
17500,#9cbfff
17600,#9cbfff
17700,#9cbfff
17800,#9bbeff
17900,#9bbeff
18000,#9bbeff
18100,#9bbeff
18200,#9bbeff
18300,#9bbeff
18400,#9abeff
18500,#9abeff
18600,#9abeff
